atom,line,Fg,Fe,mg,q_label,q,me,sign,num,den,amp_exact,amp
Cs133,D1,4,4,-4,sigma+,1,-3,1,1,12,sqrt(1/12),0.288675134595
Cs133,D1,4,4,-3,sigma+,1,-2,1,7,48,sqrt(7/48),0.381881307913
Cs133,D1,4,4,-2,sigma+,1,-1,1,3,16,sqrt(3/16),0.433012701892
Cs133,D1,4,4,-1,sigma+,1,0,1,5,24,sqrt(5/24),0.456435464588
Cs133,D1,4,4,0,sigma+,1,1,1,5,24,sqrt(5/24),0.456435464588
Cs133,D1,4,4,1,sigma+,1,2,1,3,16,sqrt(3/16),0.433012701892
Cs133,D1,4,4,2,sigma+,1,3,1,7,48,sqrt(7/48),0.381881307913
Cs133,D1,4,4,3,sigma+,1,4,1,1,12,sqrt(1/12),0.288675134595
Cs133,D1,4,3,-4,sigma+,1,-3,1,7,12,sqrt(7/12),0.763762615826
Cs133,D1,4,3,-3,sigma+,1,-2,1,7,16,sqrt(7/16),0.661437827766
Cs133,D1,4,3,-2,sigma+,1,-1,1,5,16,sqrt(5/16),0.559016994375
Cs133,D1,4,3,-1,sigma+,1,0,1,5,24,sqrt(5/24),0.456435464588 
Cs133,D1,4,3,0,sigma+,1,1,1,1,8,sqrt(1/8),0.353553390593
Cs133,D1,4,3,1,sigma+,1,2,1,1,16,sqrt(1/16),0.25
Cs133,D1,4,3,2,sigma+,1,3,1,1,48,sqrt(1/48),0.1443375672 
Cs133,D1,4,4,-4,pi,0,-4,-1,1,3,-sqrt(1/3),-0.57735026919
Cs133,D1,4,4,-3,pi,0,-3,-1,3,16,-sqrt(3/16),-0.433012701892
Cs133,D1,4,4,-2,pi,0,-2,-1,1,12,-sqrt(1/12),-0.288675134595
Cs133,D1,4,4,-1,pi,0,-1,-1,1,48,-sqrt(1/48),-0.144337567297
Cs133,D1,4,4,0,pi,0,0,0,0,1,0,0
Cs133,D1,4,4,1,pi,0,1,1,1,48,sqrt(1/48),0.144337567297
Cs133,D1,4,4,2,pi,0,2,1,1,12,sqrt(1/12),0.288675134595
Cs133,D1,4,4,3,pi,0,3,1,3,16,sqrt(3/16),0.433012701892
Cs133,D1,4,4,4,pi,0,4,1,1,3,sqrt(1/3),0.57735026919
Cs133,D1,4,3,-3,pi,0,-3,1,7,48,sqrt(7/48),0.381881307913
Cs133,D1,4,3,-2,pi,0,-2,1,1,4,sqrt(1/4),0.5
Cs133,D1,4,3,-1,pi,0,-1,1,5,16,sqrt(5/16),0.559016994375
Cs133,D1,4,3,0,pi,0,0,1,1,3,sqrt(1/3),0.57735026919
Cs133,D1,4,3,1,pi,0,1,1,5,16,sqrt(5/16),0.559016994375
Cs133,D1,4,3,2,pi,0,2,1,1,4,sqrt(1/4),0.5
Cs133,D1,4,3,3,pi,0,3,1,7,48,sqrt(7/48),0.381881307913
Cs133,D1,4,4,-3,sigma-,-1,-4,-1,1,12,-sqrt(1/12),-0.288675134595
Cs133,D1,4,4,-2,sigma-,-1,-3,-1,7,48,-sqrt(7/48),-0.381881307913
Cs133,D1,4,4,-1,sigma-,-1,-2,-1,3,16,-sqrt(3/16),-0.433012701892
Cs133,D1,4,4,0,sigma-,-1,-1,-1,5,24,-sqrt(5/24),-0.456435464588
Cs133,D1,4,4,1,sigma-,-1,0,-1,5,24,-sqrt(5/24),-0.456435464588
Cs133,D1,4,4,2,sigma-,-1,1,-1,3,16,-sqrt(3/16),-0.433012701892
Cs133,D1,4,4,3,sigma-,-1,2,-1,7,48,-sqrt(7/48),-0.381881307913
Cs133,D1,4,4,4,sigma-,-1,3,-1,1,12,-sqrt(1/12),-0.288675134595
Cs133,D1,4,3,-2,sigma-,-1,-3,1,1,48,sqrt(1/48),0.144337567297
Cs133,D1,4,3,-1,sigma-,-1,-2,1,1,16,sqrt(1/16),0.25
Cs133,D1,4,3,0,sigma-,-1,-1,1,1,8,sqrt(1/8),0.353553390593
Cs133,D1,4,3,1,sigma-,-1,0,1,5,24,sqrt(5/24),0.456435464588
Cs133,D1,4,3,2,sigma-,-1,1,1,5,16,sqrt(5/16),0.559016994375
Cs133,D1,4,3,3,sigma-,-1,2,1,7,16,sqrt(7/16),0.661437827766
Cs133,D1,4,3,4,sigma-,-1,3,1,7,12,sqrt(7/12),0.763762615826
Cs133,D1,3,4,-3,sigma+,1,-2,-1,1,48,-sqrt(1/48),-0.144337567297
Cs133,D1,3,4,-2,sigma+,1,-1,-1,1,16,-sqrt(1/16),-0.25
Cs133,D1,3,4,-1,sigma+,1,0,-1,1,8,-sqrt(1/8),-0.353553390593
Cs133,D1,3,4,0,sigma+,1,1,-1,5,24,-sqrt(5/24),-0.456435464588
Cs133,D1,3,4,1,sigma+,1,2,-1,5,16,-sqrt(5/16),-0.559016994375
Cs133,D1,3,4,2,sigma+,1,3,-1,7,16,-sqrt(7/16),-0.661437827766
Cs133,D1,3,4,3,sigma+,1,4,-1,7,12,-sqrt(7/12),-0.763762615826
